iter	Passed	Remaining
405	5992	8766
406	6007	8753
407	6020	8735
408	6032	8717
409	6045	8698
410	6058	8682
411	6072	8666
412	6086	8650
413	6100	8634
414	6111	8615
415	6123	8597
416	6139	8583
417	6153	8567
418	6167	8551
419	6177	8530
420	6188	8511
421	6200	8492
422	6209	8470
423	6219	8449
424	6231	8430
425	6240	8408
426	6252	8390
427	6264	8372
428	6274	8350
429	6285	8331
430	6297	8313
431	6306	8291
432	6315	8270
433	6325	8249
434	6335	8228
435	6347	8211
436	6357	8190
437	6369	8172
438	6380	8153
439	6389	8132
440	6400	8113
441	6411	8094
442	6423	8076
443	6434	8058
444	6446	8039
445	6455	8018
446	6466	8000
447	6478	7982
448	6488	7962
449	6500	7944
450	6510	7925
451	6519	7904
452	6531	7886
453	6539	7865
454	6552	7848
455	6563	7830
456	6572	7809
457	6583	7790
458	6595	7774
459	6604	7753
460	6614	7733
461	6626	7716
462	6636	7697
463	6648	7680
464	6660	7662
465	6669	7642
466	6681	7625
467	6692	7608
468	6702	7588
469	6715	7572
470	6726	7555
471	6736	7535
472	6749	7519
473	6759	7500
474	6768	7481
475	6780	7464
476	6791	7446
477	6800	7426
478	6811	7409
479	6822	7391
480	6831	7371
481	6844	7355
482	6855	7337
483	6864	7317
484	6878	7304
485	6890	7287
486	6899	7268
487	6911	7251
488	6922	7233
489	6931	7214
490	6944	7199
491	6956	7183
492	6965	7163
493	6977	7146
494	6988	7130
495	6998	7111
496	7008	7093
497	7020	7077
498	7029	7057
499	7040	7040
500	7049	7021
501	7060	7003
502	7071	6987
503	7082	6969
504	7091	6951
505	7103	6935
506	7112	6915
507	7121	6897
508	7134	6882
509	7146	6866
510	7157	6849
511	7169	6833
512	7179	6815
513	7190	6798
514	7201	6782
515	7210	6763
516	7220	6745
517	7233	6731
518	7243	6712
519	7253	6695
520	7266	6680
521	7275	6662
522	7287	6646
523	7298	6630
524	7308	6612
525	7317	6594
526	7330	6579
527	7339	6560
528	7352	6546
529	7364	6531
530	7374	6513
531	7384	6496
532	7396	6480
533	7407	6463
534	7421	6450
535	7435	6436
536	7445	6419
537	7457	6404
538	7470	6389
539	7484	6375
540	7497	6360
541	7507	6343
542	7519	6328
543	7531	6313
544	7540	6295
545	7552	6279
546	7563	6263
547	7572	6246
548	7584	6230
549	7596	6215
550	7605	6197
551	7617	6182
552	7628	6166
553	7637	6148
554	7649	6133
555	7661	6117
556	7671	6101
557	7684	6086
558	7695	6070
559	7706	6054
560	7719	6040
561	7733	6027
562	7747	6013
563	7762	6000
564	7775	5986
565	7791	5974
566	7804	5960
567	7816	5944
568	7828	5929
569	7842	5916
570	7858	5904
571	7867	5887
572	7880	5872
573	7893	5858
574	7905	5843
575	7915	5826
576	7928	5812
577	7940	5797
578	7951	5781
579	7963	5766
580	7973	5750
581	7985	5735
582	7996	5719
583	8008	5704
584	8023	5691
585	8033	5675
586	8044	5660
587	8058	5646
588	8071	5631
589	8083	5617
590	8094	5601
591	8104	5585
592	8116	5570
593	8126	5554
594	8141	5541
595	8155	5528
596	8167	5513
597	8180	5499
598	8193	5484
599	8206	5471
600	8222	5458
601	8235	5444
602	8249	5431
603	8260	5415
604	8274	5402
605	8288	5389
606	8301	5375
607	8315	5361
608	8325	5345
609	8340	5332
610	8353	5318
611	8370	5306
612	8388	5295
613	8402	5282
614	8416	5268
615	8433	5257
616	8442	5240
617	8454	5226
618	8470	5213
619	8486	5201
620	8503	5189
621	8517	5176
622	8538	5166
623	8555	5155
624	8571	5142
625	8588	5131
626	8605	5119
627	8623	5107
628	8640	5096
629	8656	5083
630	8671	5071
631	8685	5057
632	8698	5043
633	8709	5028
634	8720	5012
635	8731	4997
636	8743	4982
637	8753	4966
638	8763	4951
639	8777	4937
640	8790	4922
641	8802	4908
642	8817	4895
643	8829	4881
644	8842	4867
645	8852	4851
646	8863	4836
647	8877	4822
648	8887	4806
649	8896	4790
650	8909	4776
651	8918	4760
652	8929	4745
653	8942	4730
654	8954	4716
655	8964	4700
656	8975	4685
657	8985	4670
658	8994	4654
659	9007	4640
660	9016	4624
661	9027	4609
662	9041	4595
663	9054	4581
664	9066	4567
665	9088	4557
666	9103	4544
667	9115	4530
668	9136	4520
669	9151	4507
670	9170	4496
671	9190	4485
672	9210	4475
673	9227	4462
674	9243	4450
675	9257	4437
676	9276	4425
677	9292	4413
678	9308	4400
679	9323	4387
680	9338	4374
681	9350	4359
682	9364	4346
683	9377	4332
684	9390	4318
685	9404	4304
686	9419	4291
687	9432	4277
688	9441	4261
689	9452	4246
690	9465	4232
691	9475	4217
692	9486	4202
693	9503	4190
694	9517	4176
695	9533	4163
696	9545	4149
697	9566	4138
698	9585	4127
699	9602	4115
700	9619	4102
701	9637	4090
702	9653	4078
703	9665	4064
704	9675	4048
705	9689	4034
706	9701	4020
707	9715	4007
708	9727	3992
709	9738	3977
710	9753	3964
711	9769	3951
712	9781	3937
713	9791	3921
714	9801	3906
715	9813	3892
716	9826	3878
717	9838	3863
718	9904	3870
719	9923	3859
720	9946	3849
721	9964	3836
722	9980	3823
723	9998	3811
724	10013	3798
725	10027	3784
726	10041	3770
727	10058	3758
728	10077	3746
729	10096	3734
730	10112	3721
731	10129	3708
732	10144	3695
733	10157	3681
734	10182	3671
735	10200	3658
736	10215	3645
737	10229	3631
738	10246	3618
739	10259	3604
740	10270	3589
741	10282	3575
742	10293	3560
743	10311	3547
744	10327	3534
745	10351	3524
746	10375	3513
747	10398	3503
748	10419	3491
749	10440	3480
750	10458	3467
751	10476	3455
752	10495	3442
753	10511	3429
754	10532	3417
755	10551	3405
756	10574	3394
757	10591	3381
758	10606	3367
759	10623	3354
760	10638	3341
761	10652	3327
762	10668	3313
763	10688	3301
764	10704	3288
765	10727	3276
766	10749	3265
767	10773	3254
768	10791	3241
769	10812	3229
770	10830	3216
771	10848	3203
772	10859	3189
773	10872	3174
774	10885	3160
775	10898	3145
776	10908	3130
777	10920	3116
778	10934	3102
779	10946	3087
780	10957	3072
781	10970	3058
782	10983	3043
783	10995	3029
784	11006	3014
785	11018	2999
786	11031	2985
787	11043	2970
788	11052	2955
789	11063	2940
790	11073	2925
791	11085	2911
792	11101	2897
793	11113	2883
794	11131	2870
795	11148	2857
796	11165	2844
797	11182	2830
798	11201	2817
799	11216	2804
800	11234	2791
801	11247	2776
802	11263	2763
803	11274	2748
804	11287	2734
805	11299	2719
806	11311	2705
807	11324	2691
808	11335	2676
809	11345	2661
810	11358	2646
811	11367	2631
812	11376	2616
813	11389	2602
814	11397	2587
815	11407	2572
816	11415	2557
817	11427	2542
818	11439	2528
819	11447	2512
820	11459	2498
821	11471	2484
822	11479	2468
823	11490	2454
824	11501	2439
825	11512	2425
826	11526	2411
827	11539	2397
828	11552	2382
829	11562	2368
830	11573	2353
831	11587	2339
832	11600	2325
833	11611	2311
834	11626	2297
835	11637	2283
836	11648	2268
837	11661	2254
838	11674	2240
839	11686	2226
840	11700	2212
841	11712	2197
842	11729	2184
843	11744	2170
844	11762	2157
845	11778	2144
846	11802	2131
847	11816	2117
848	11826	2103
849	11838	2089
850	11850	2074
851	11863	2060
852	11872	2046
853	11886	2032
854	11898	2017
855	11907	2003
856	11918	1988
857	11929	1974
858	11937	1959
859	11949	1945
860	11958	1930
861	11968	1916
862	11981	1902
863	11990	1887
864	12000	1872
865	12011	1858
866	12020	1844
867	12031	1829
868	12042	1815
869	12054	1801
870	12066	1787
871	12078	1773
872	12088	1758
873	12100	1744
874	12116	1730
875	12131	1717
876	12148	1703
877	12162	1689
878	12179	1676
879	12193	1662
880	12209	1649
881	12226	1635
882	12235	1621
883	12249	1607
884	12261	1593
885	12271	1579
886	12281	1564
887	12291	1550
888	12301	1535
889	12312	1521
890	12323	1507
891	12333	1493
892	12343	1479
893	12354	1464
894	12363	1450
895	12374	1436
896	12384	1422
897	12396	1408
898	12410	1394
899	12422	1380
900	12431	1365
901	12442	1351
902	12455	1337
903	12468	1324
904	12484	1310
905	12503	1297
906	12516	1283
907	12534	1269
908	12560	1257
909	12612	1247
910	12654	1236
911	12686	1224
912	12701	1210
913	12726	1197
914	12740	1183
915	12752	1169
916	12763	1155
917	12774	1141
918	12785	1126
919	12798	1112
920	12810	1098
921	12825	1084
922	12841	1071
923	12853	1057
924	12868	1043
925	12882	1029
926	12901	1015
927	12914	1001
928	12935	988
929	12952	974
930	12969	961
931	12984	947
932	13001	933
933	13016	919
934	13031	905
935	13041	891
936	13052	877
937	13065	863
938	13074	849
939	13087	835
940	13099	821
941	13108	807
942	13119	792
943	13132	779
944	13145	765
945	13155	750
946	13166	736
947	13179	722
948	13191	708
949	13203	694
950	13215	680
951	13229	667
952	13240	653
953	13253	639
954	13264	625
955	13276	611
956	13287	597
957	13298	583
958	13312	569
959	13325	555
960	13335	541
961	13347	527
